DATE	cout	rout
1981-02-15	10.321	7.225
1981-02-16	9.177	7.465
1981-02-17	7.587	7.937
1981-02-18	6.739	8.05
1981-02-19	7.81	8.484
1981-02-20	9.723	8.785
1981-02-21	9.66	8.356
1981-02-22	8.124	8.129
1981-02-23	6.597	8.051
1981-02-24	7.989	8.003
1981-02-25	7.554	7.878
1981-02-26	6.157	7.703
1981-02-27	4.717	6.701
1981-02-28	3.646	6.137
1981-03-01	2.913	6.294
1981-03-02	2.398	5.711
1981-03-03	2.065	3.703
1981-03-04	3.234	4.893
1981-03-05	3.306	4.863
1981-03-06	3.055	4.83
1981-03-07	2.806	4.991
1981-03-08	2.481	5.137
1981-03-09	2.176	5.565
1981-03-10	1.876	5.694
1981-03-11	1.79	6.28
1981-03-12	1.789	7.038
1981-03-13	1.974	7.863
1981-03-14	2.168	8.994
1981-03-15	2.438	9.56
1981-03-16	6.92	9.882
1981-03-17	11.061	9.654
1981-03-18	8.059	9.801
1981-03-19	5.234	9.914
1981-03-20	3.909	9.844
1981-03-21	3.081	9.476
1981-03-22	12.97	9.462
1981-03-23	14.921	9.599
1981-03-24	9.556	9.649
1981-03-25	6.192	9.905
1981-03-26	8.079	10.925
1981-03-27	7.822	10.906
1981-03-28	5.391	11.678
1981-03-29	5.874	12.724
1981-03-30	8.793	13.42
1981-03-31	6.431	13.024
1981-04-01	4.404	11.031
1981-04-02	6.943	9.128
1981-04-03	5.665	9.497
1981-04-04	7.066	9.824
1981-04-05	7.032	10.29
1981-04-06	6.715	10.626
1981-04-07	5.523	10.401
1981-04-08	3.596	10.22
1981-04-09	2.633	10.22
1981-04-10	2.607	10.012
1981-04-11	2.381	10.188
1981-04-12	1.932	10.171
1981-04-13	1.526	10.043
1981-04-14	1.548	9.781
1981-04-15	4.217	9.852
1981-04-16	5.063	10.013
1981-04-17	5.211	9.923
1981-04-18	5.136	9.067
1981-04-19	5.378	9.251
1981-04-20	9.608	9.441
1981-04-21	10.968	11.323
1981-04-22	11.824	12.376
1981-04-23	18.151	13.996
1981-04-24	20.351	25.195
1981-04-25	18.161	36.313
1981-04-26	15.308	32.532
1981-04-27	16.149	27.265
1981-04-28	19.901	26.578
1981-04-29	23.487	26.867
1981-04-30	25.062	28.689
1981-05-01	30.41	41.481
1981-05-02	31.284	54.894
1981-05-03	28.356	69.487
1981-05-04	40.127	63.385
1981-05-05	37.111	59.966
1981-05-06	31.574	55.987
1981-05-07	28.103	52.432
1981-05-08	50.457	50.478
1981-05-09	44.466	47.774
1981-05-10	39.311	43.682
1981-05-11	30.395	40.39
1981-05-12	24.822	36.891
1981-05-13	26.454	32.05
1981-05-14	53.834	26.888
1981-05-15	136.604	52.1
1981-05-16	156.214	85.267
1981-05-17	114.617	74.746
1981-05-18	82.468	67.807
1981-05-19	73.067	70.767
1981-05-20	81.267	79.525
1981-05-21	117.418	88.23
1981-05-22	174.605	131.084
1981-05-23	188.246	149.301
1981-05-24	182.553	139.784
1981-05-25	182.578	140.015
1981-05-26	178.39	144.194
1981-05-27	165.142	143.297
1981-05-28	149.766	135.264
1981-05-29	135.891	126.212
1981-05-30	125.806	118.765
1981-05-31	116.308	113.195
1981-06-01	108.741	103.992
1981-06-02	102.166	93.69
1981-06-03	96.447	90.805
1981-06-04	91.859	92.635
1981-06-05	87.068	93.499
1981-06-06	88.298	90.523
1981-06-07	82.997	92.808
1981-06-08	74.46	87.893
1981-06-09	64.705	83.974
1981-06-10	55.665	77.249
1981-06-11	48.365	69.946
1981-06-12	72.687	64.486
1981-06-13	99.758	65.081
1981-06-14	119.163	77.816
1981-06-15	99.299	70.489
1981-06-16	70.229	66.442
1981-06-17	53.593	67.042
1981-06-18	44.662	63.592
1981-06-19	40.915	58.967
1981-06-20	39.97	58.514
1981-06-21	39.203	63.202
1981-06-22	40.314	61.121
1981-06-23	41.896	62.056
1981-06-24	41.388	64.54
1981-06-25	40.804	64.837
1981-06-26	41.047	67.82
1981-06-27	53.334	71.391
1981-06-28	49.937	65.751
1981-06-29	43.987	65.752
1981-06-30	42.303	68.092
1981-07-01	42.64	71.362
1981-07-02	41.919	65.712
1981-07-03	41.319	63.65
1981-07-04	41.562	64.615
1981-07-05	42.688	66.129
1981-07-06	43.73	66.014
1981-07-07	45.139	66.87
1981-07-08	43.667	64.34
1981-07-09	39.876	58.257
1981-07-10	37.007	54.11
1981-07-11	35.61	55.297
1981-07-12	32.783	50.203
1981-07-13	31.748	45.09
1981-07-14	27.205	42.816
1981-07-15	32.702	40.474
1981-07-16	31.155	37.855
1981-07-17	24.505	35.639
1981-07-18	21.292	33.589
1981-07-19	17.695	35.127
1981-07-20	14.518	34.912
1981-07-21	12.08	40.392
1981-07-22	11.914	42.143
1981-07-23	15.729	39.742
1981-07-24	47.456	40.066
1981-07-25	57.262	45.657
1981-07-26	36.984	42.041
1981-07-27	22.324	34.544
1981-07-28	16.597	26.61
1981-07-29	13.016	25.846
1981-07-30	11.273	31.913
1981-07-31	9.512	27.719
1981-08-01	7.808	28.114
1981-08-02	7.172	28.221
1981-08-03	6.256	27.445
1981-08-04	5.668	25.534
1981-08-05	6.203	23.17
1981-08-06	5.658	21.12
1981-08-07	5.268	19.693
1981-08-08	9.733	19.691
1981-08-09	8.772	20.564
1981-08-10	6.629	20.777
1981-08-11	5.374	20.554
1981-08-12	4.729	20.257
1981-08-13	4.051	19.876
1981-08-14	11.64	19.704
1981-08-15	12.699	19.929
1981-08-16	9.817	19.789
1981-08-17	7.604	19.426
1981-08-18	6.386	19.05
1981-08-19	5.483	18.334
1981-08-20	6.13	17.786
1981-08-21	5.17	17.416
1981-08-22	3.84	16.076
1981-08-23	3.139	15.288
1981-08-24	2.787	14.797
1981-08-25	2.491	14.827
1981-08-26	2.179	14.923
1981-08-27	2.111	14.495
1981-08-28	1.791	13.716
1981-08-29	1.498	12.956
1981-08-30	9.058	12.86
1981-08-31	9.599	12.93
1981-09-01	9.545	13.048
1981-09-02	9.655	12.502
1981-09-03	8.818	11.423
1981-09-04	7.659	11.463
1981-09-05	6.249	11.276
1981-09-06	4.847	11.086
1981-09-07	3.681	11.005
1981-09-08	2.786	10.442
1981-09-09	2.124	9.564
1981-09-10	1.654	9.316
1981-09-11	1.322	9.674
1981-09-12	1.085	9.639
1981-09-13	0.919	9.462
1981-09-14	0.803	9.388
1981-09-15	0.722	8.549
1981-09-16	0.664	8.4
1981-09-17	0.622	8.45
1981-09-18	0.593	8.008
1981-09-19	1.114	7.823
1981-09-20	1.468	8.132
1981-09-21	3.232	8.28
1981-09-22	4.713	8.681
1981-09-23	5.03	7.817
1981-09-24	4.863	6.615
1981-09-25	11.032	5.854
1981-09-26	11.158	6.148
1981-09-27	7.727	8.151
1981-09-28	8.444	11.666
1981-09-29	8.154	13.711
1981-09-30	6.857	13.138
1981-10-01	6.932	12.461
1981-10-02	7.676	12.569
1981-10-03	7.011	11.559
1981-10-04	5.786	10.342
1981-10-05	4.585	9.176
1981-10-06	3.994	8.468
1981-10-07	4.5	7.694
1981-10-08	5.115	7.913
1981-10-09	4.889	7.772
1981-10-10	4.279	7.087
1981-10-11	7.654	7.019
1981-10-12	5.75	6.861
1981-10-13	3.473	6.658
1981-10-14	7.995	6.463
1981-10-15	5.997	6.259
1981-10-16	3.595	6.067
1981-10-17	3.037	5.878
1981-10-18	2.416	5.884
1981-10-19	4.498	5.814
1981-10-20	5.464	5.932
1981-10-21	4.109	5.753
1981-10-22	2.925	5.682
1981-10-23	5.863	5.553
1981-10-24	7.893	5.424
1981-10-25	10.075	5.83
1981-10-26	12.017	5.539
1981-10-27	11.123	5.735
1981-10-28	10.881	5.954
1981-10-29	9.357	5.869
1981-10-30	7.251	6.016
1981-10-31	7.091	6.377
1981-11-01	7.815	4.454
1981-11-02	6.406	4.648
1981-11-03	5.346	4.739
1981-11-04	4.443	4.356
1981-11-05	3.409	4.479
1981-11-06	2.565	4.422
1981-11-07	1.957	4.438
1981-11-08	1.515	4.325
1981-11-09	1.223	4.3
1981-11-10	0.998	4.145
1981-11-11	1.606	4.089
1981-11-12	2.245	3.951
1981-11-13	2.22	4.155
1981-11-14	2.725	4.155
1981-11-15	2.552	4.177
1981-11-16	2.329	4.155
1981-11-17	13.785	4.667
1981-11-18	9.686	4.764
1981-11-19	4.613	4.513
1981-11-20	6.612	4.56
1981-11-21	6.467	4.519
1981-11-22	7.892	5.016
1981-11-23	4.909	4.667
1981-11-24	2.651	4.107
1981-11-25	1.845	3.673
1981-11-26	1.418	3.563
1981-11-27	1.096	3.523
1981-11-28	0.855	3.469
1981-11-29	0.682	3.416
1981-11-30	0.561	3.485
1981-12-01	0.484	3.478
1981-12-02	0.765	3.547
1981-12-03	0.621	3.547
1981-12-04	0.432	3.519
1981-12-05	2.614	3.613
1981-12-06	5.01	4.052
1981-12-07	4.737	4.137
1981-12-08	4.146	3.96
1981-12-09	4.795	3.919
1981-12-10	5.099	4.439
1981-12-11	4.452	4.676
1981-12-12	3.521	4.581
1981-12-13	2.729	4.376
1981-12-14	2.122	4.25
1981-12-15	1.664	4.099
1981-12-16	1.324	4.001
1981-12-17	1.077	3.711
1981-12-18	0.899	3.585
1981-12-19	2.855	3.692
1981-12-20	3.241	3.73
1981-12-21	2.928	3.623
1981-12-22	2.61	3.806
1981-12-23	2.267	3.642
1981-12-24	1.902	3.516
1981-12-25	1.572	3.387
1981-12-26	1.308	3.176
1981-12-27	1.1	3.091
1981-12-28	0.942	2.937
1981-12-29	0.825	2.811
1981-12-30	0.738	2.685
1981-12-31	0.667	2.587
1982-01-01	0.587	2.426
1982-01-02	0.531	2.333
1982-01-03	0.493	2.276
1982-01-04	0.462	2.212
1982-01-05	0.408	2.183
1982-01-06	0.374	2.155
1982-01-07	0.355	2.155
1982-01-08	0.34	2.191
1982-01-09	0.326	2.256
1982-01-10	0.314	2.284
1982-01-11	0.303	2.349
1982-01-12	0.294	2.349
1982-01-13	0.285	2.349
1982-01-14	0.276	2.377
1982-01-15	0.267	2.377
1982-01-16	0.257	2.405
1982-01-17	0.25	2.47
1982-01-18	0.243	2.498
1982-01-19	0.237	2.535
1982-01-20	0.228	2.563
1982-01-21	0.219	2.563
1982-01-22	0.188	2.591
1982-01-23	0.166	2.628
1982-01-24	0.183	2.842
1982-01-25	0.17	3.141
1982-01-26	10.419	3.613
1982-01-27	6.659	4.07
1982-01-28	3.15	4.013
1982-01-29	1.726	3.92
1982-01-30	2.567	3.855
1982-01-31	1.713	3.791
1982-02-01	1.195	3.698
1982-02-02	2.27	3.632
1982-02-03	2.254	3.566
1982-02-04	1.624	3.538
1982-02-05	1.114	3.51
1982-02-06	0.755	3.444
1982-02-07	0.583	3.415
1982-02-08	0.479	3.387
1982-02-09	0.405	3.387
1982-02-10	0.356	3.359
1982-02-11	0.321	3.359
1982-02-12	0.297	3.453
1982-02-13	2.724	3.613
1982-02-14	8.543	3.839
1982-02-15	24.528	4.121
1982-02-16	26.631	4.536
1982-02-17	23.978	4.932
1982-02-18	15.963	5.366
1982-02-19	14.052	5.875
1982-02-20	25.022	6.469
1982-02-21	29.55	8.199
1982-02-22	30.259	9.421
1982-02-23	27.06	9.009
1982-02-24	21.85	8.597
1982-02-25	16.662	8.053
1982-02-26	12.154	7.799
1982-02-27	8.835	7.583
1982-02-28	6.454	7.489
1982-03-01	5.052	7.872
1982-03-02	3.971	7.852
1982-03-03	3.11	7.61
1982-03-04	2.481	7.465
1982-03-05	2.019	7.231
1982-03-06	1.678	7.017
1982-03-07	1.441	6.827
1982-03-08	1.265	6.556
1982-03-09	20.603	6.544
1982-03-10	19.346	6.734
1982-03-11	11.941	6.827
1982-03-12	9.39	6.347
1982-03-13	6.987	6.004
1982-03-14	7.231	5.995
1982-03-15	6.101	6.298
1982-03-16	5.486	5.983
1982-03-17	6.02	5.668
1982-03-18	5.017	5.478
1982-03-19	3.576	5.393
1982-03-20	2.466	5.236
1982-03-21	1.687	5.107
1982-03-22	1.801	5.135
1982-03-23	7.837	5.034
1982-03-24	5.951	5.163
1982-03-25	2.827	5.346
1982-03-26	13.538	5.685
1982-03-27	13.723	5.717
1982-03-28	10.955	5.459
1982-03-29	5.618	5.204
1982-03-30	5.281	5.147
1982-03-31	5.123	5.091
1982-04-01	3.144	5.047
1982-04-02	2.522	5.065
1982-04-03	2.054	5.14
1982-04-04	1.491	5.328
1982-04-05	1.025	5.431
1982-04-06	0.816	5.328
1982-04-07	0.68	5.338
1982-04-08	0.556	5.16
1982-04-09	1.325	5.103
1982-04-10	19.025	5.047
1982-04-11	26.514	5.346
1982-04-12	22.308	5.725
1982-04-13	21.782	5.448
1982-04-14	15.974	6.671
1982-04-15	11.202	7.948
1982-04-16	8.842	8.734
1982-04-17	7.639	7.992
1982-04-18	6.939	7.369
1982-04-19	6.803	7.161
1982-04-20	4.985	6.975
1982-04-21	7.513	7.881
1982-04-22	9.336	9.655
1982-04-23	13.06	12.07
1982-04-24	15.804	13.881
1982-04-25	14.821	13.494
1982-04-26	11.828	12.574
1982-04-27	11.052	13.169
1982-04-28	11.203	14.743
1982-04-29	10.35	16.015
1982-04-30	9.33	15.062
1982-05-01	12.995	15.127
1982-05-02	19.416	17.946
1982-05-03	18.333	19.148
1982-05-04	16.385	19.473
1982-05-05	14.743	20.39
1982-05-06	13.731	22.82
1982-05-07	15.946	26.085
1982-05-08	21.473	28.422
1982-05-09	21.676	27.458
1982-05-10	18.233	26.286
1982-05-11	12.489	25.57
1982-05-12	11.179	26.062
1982-05-13	13.305	27.351
1982-05-14	20.394	29.648
1982-05-15	28.21	34.688
1982-05-16	27.774	40.144
1982-05-17	27.74	42.638
1982-05-18	35.811	49.86
1982-05-19	35.216	53.209
1982-05-20	28.07	54.341
1982-05-21	26.879	54.886
1982-05-22	30.937	60.154
1982-05-23	33.167	67.191
1982-05-24	33.937	71.417
1982-05-25	39.659	72.646
1982-05-26	49.218	103.056
1982-05-27	58.572	98.364
1982-05-28	61.815	97.464
1982-05-29	50.391	87.346
1982-05-30	36.095	77.682
1982-05-31	27.534	70.021
1982-06-01	24.79	64.704
1982-06-02	26.602	61.399
1982-06-03	26.591	60.484
1982-06-04	30.02	67.4
1982-06-05	29.898	75.768
1982-06-06	40.543	77.958
1982-06-07	37.119	75.871
1982-06-08	31.95	72.325
1982-06-09	34.116	73.842
1982-06-10	38.106	73.999
1982-06-11	47.86	81.339
1982-06-12	60.366	91.066
1982-06-13	73.123	102.409
1982-06-14	86.459	118.824
1982-06-15	105.284	124.532
1982-06-16	130.982	130.609
1982-06-17	133.975	133.614
1982-06-18	133.938	128.343
1982-06-19	140.748	124.593
1982-06-20	148.606	124.026
1982-06-21	150.525	125.821
1982-06-22	149.897	128.723
1982-06-23	145.015	130.353
1982-06-24	136.229	122.598
1982-06-25	127.862	115.013
1982-06-26	127.435	114.948
1982-06-27	127.468	117.317
1982-06-28	133.027	115.386
1982-06-29	165.059	108.108
1982-06-30	169.363	103.698
1982-07-01	176.112	105.819
1982-07-02	163.711	106.539
1982-07-03	145.748	109.094
1982-07-04	128.801	104.707
1982-07-05	115.629	95.632
1982-07-06	97.535	85.174
1982-07-07	80.606	75.045
1982-07-08	67.992	68.205
1982-07-09	59.314	63.599
1982-07-10	53.604	62.122
1982-07-11	50.154	60.96
1982-07-12	48.2	59.929
1982-07-13	47.692	58.292
1982-07-14	55.016	58.885
1982-07-15	54.175	61.689
1982-07-16	52.026	58.021
1982-07-17	46.71	53.738
1982-07-18	41.175	49.917
1982-07-19	37.098	47.795
