hru_nhm,lat,lon,mean
113640,47.8859164721988,-107.179849645171,825.084594726562
113641,47.8845509628824,-107.009384324322,754.497497558594
113644,47.9472908193928,-107.176811691924,790.454284667969
113646,47.961022626915,-106.945865692728,716.833740234375
113648,47.9533601100772,-106.803497118545,705.01025390625
113649,47.9949596001391,-107.085347854686,745.704772949219
113651,48.0297286325179,-106.978695410819,716.664306640625
113652,48.0569643954042,-106.849739031844,690.987121582031
113653,47.9979177610476,-107.189264341599,779.587707519531
113656,48.1741007390486,-106.253668391436,715.681884765625
113657,47.93477493005,-108.145602062616,842.213012695312
113659,47.9090914793317,-108.346336161003,982.300476074219
113661,47.9797160438683,-107.949681227907,770.297912597656
113663,47.9524854079537,-108.450584373254,1227.37353515625
113664,48.0990518966601,-106.995129851416,709.035522460938
113666,47.9306320579051,-107.700880500743,759.112243652344
113667,48.0242650405444,-107.491386621554,767.162719726562
113669,48.0554957646607,-107.560778621076,698.698486328125
113672,47.9910937621663,-108.071389631439,810.129943847656
113673,47.949770107004,-108.624695731884,1384.66662597656
113675,48.0666298798073,-106.702854880628,686.577392578125
113677,48.0550009828222,-107.135842832101,751.503356933594
113680,48.1409650981086,-106.60613885124,643.248352050781
113683,48.1538941988137,-106.486583427003,670.592712402344
113685,48.0638460382517,-107.475305119979,763.32373046875
113686,48.114715891842,-107.659545127073,751.576416015625
113688,48.0970007741351,-107.118885076269,734.071472167969
113690,48.0601851404797,-107.684693333068,737.046325683594
113691,48.0682608545066,-107.871119874075,755.547241210938
113693,48.1376573418646,-107.585962119312,736.036254882812
113694,48.0141962180933,-108.457903527769,1057.91516113281
113695,48.0404890545604,-107.332554571198,777.322143554688
113696,48.1846183044136,-106.616231089679,661.977783203125
113697,48.1327885344589,-107.116071114346,734.540283203125
113700,48.1327594761893,-107.276061981683,736.501403808594
113701,48.1284218493815,-107.234992216799,746.198486328125
113703,48.1926775047651,-106.670446264209,638.5068359375
113705,48.1539405901146,-107.289490170147,718.203674316406
113707,48.1662306369909,-106.841693134875,689.476135253906
113710,48.0428343105135,-108.345823698256,884.715698242188
113713,48.1155742970765,-107.485057618494,742.233947753906
113717,48.0494372221693,-108.027948478049,783.426879882812
