,prms_nhm_id,TGF_nhm_id
567,96980,114122
568,96982,114124
569,96983,114125
570,96984,114126
571,96985,114127
572,96987,114129
573,96988,114130
574,96989,114131
575,96990,114132
576,96991,114133
577,96992,114134
578,96994,114136
579,96995,114137
580,96996,114138
581,96997,114139
582,96998,114140
583,96999,114141
584,97000,114142
585,97001,114143
586,97002,114144
587,97003,114145
588,97004,114146
589,97005,114147
590,97006,114148
591,97008,114150
592,97009,114151
593,97010,114152
594,97011,114153
595,97012,114154
596,97014,114156
597,97015,114157
598,97016,114158
599,97017,114159
600,97018,114160
601,97019,114161
602,97020,114162
603,97021,114163
604,97022,114164
605,97023,114165
606,97024,114166
607,97025,114167
608,97026,114168
609,97027,114169
610,97028,114170
611,97029,114171
612,97030,114172
613,97031,114173
614,97032,114174
615,97033,114175
616,97034,114176
617,97035,114177
618,97036,114178
619,97037,114179
620,97038,114180
621,97039,114181
622,97040,114182
623,97041,114183
624,97042,114184
625,97043,114185
626,97044,114186
627,97045,114187
628,97046,114188
629,97047,114189
630,97048,114190
631,97049,114191
632,97050,114192
633,97051,114193
634,97052,114194
635,97053,114195
636,97054,114196
637,97055,114197
638,97056,114198
639,97057,114199
640,97058,114200
641,97059,114201
642,97060,114202
643,97061,114203
644,97062,114204
645,97063,114205
646,97064,114206
647,97065,114207
648,97066,114208
649,97067,114209
650,97068,114210
651,97069,114211
652,97070,114212
653,97071,114213
654,97072,114214
655,97073,114215
656,97074,114216
657,97075,114217
658,97076,114218
659,97077,114219
660,97078,114220
661,97079,114221
662,97080,114222
663,97081,114223
664,97082,114224
665,97083,114225
666,97084,114226
667,97085,114227
668,97086,114228
669,97087,114229
670,97088,114230
671,97089,114231
672,97090,114232
673,97091,114233
674,97092,114234
675,97093,114235
676,97094,114236
677,97095,114237
678,97096,114238
679,97097,114239
680,97098,114240
681,97099,114241
682,97100,114242
683,97101,114243
684,97102,114244
685,97103,114245
686,97104,114246
687,97105,114247
688,97106,114248
689,97107,114249
690,97108,114250
691,97109,114251
692,97110,114252
693,97111,114253
694,97112,114254
695,97113,114255
696,97114,114256
697,97115,114257
698,97116,114258
699,97117,114259
700,97118,114260
701,97119,114261
702,97120,114262
703,97121,114263
704,97122,114264
705,97123,114265
706,97124,114266
707,97125,114267
708,97126,114268
709,97127,114269
710,97128,114270
711,97129,114271
712,97130,114272
713,97131,114273
714,97132,114274
715,97133,114275
716,97134,114276
717,97135,114277
718,97136,114278
719,97137,114279
720,97138,114280
721,97139,114281
722,97140,114282
723,97141,114283
724,97142,114284
725,97143,114285
726,97144,114286
727,97145,114287
728,97146,114288
729,97147,114289
730,97148,114290
731,97149,114291
732,97150,114292
733,97151,114293
734,97152,114294
735,97153,114295
736,97154,114296
737,97155,114297
738,97156,114298
739,97157,114299
740,97158,114300
741,97159,114301
742,97160,114302
743,97161,114303
744,97162,114304
745,97163,114305
746,97164,114306
747,97165,114307
748,97166,114308
749,97167,114309
750,97168,114310
751,97169,114311
752,97170,114312
753,97171,114313
754,97172,114314
755,97173,114315
756,97174,114316
757,97175,114317
758,97176,114318
759,97177,114319
760,97178,114320
761,97179,114321
762,97180,114322
763,97181,114323
764,97182,114324
765,97183,114325
766,97184,114326
767,97185,114327
768,97186,114328
769,97187,114329
770,97188,114330
771,97189,114331
772,97190,114332
773,97191,114333
774,97192,114334
775,97193,114335
776,97194,114336
777,97195,114337
778,97196,114338
779,97197,114339
780,97198,114340
781,97199,114341
782,97200,114342
783,97201,114343
784,97202,114344
785,97203,114345
786,97204,114346
787,97205,114347
788,97206,114348
789,97207,114349
790,97208,114350
791,97209,114351
792,97210,114352
793,97211,114353
794,97212,114354
795,97213,114355
796,97214,114356
797,97215,114357
798,97216,114358
799,97217,114359
800,97218,114360
801,97219,114361
802,97220,114362
803,97221,114363
804,97222,114364
805,97223,114365
806,97224,114366
807,97225,114367
808,97226,114368
809,97227,114369
810,97228,114370
811,97229,114371
812,97230,114372
813,97231,114373
814,97232,114374
815,97233,114375
816,97234,114376
817,97235,114377
818,97236,114378
819,97237,114379
820,97238,114380
821,97239,114381
822,97240,114382
823,97241,114383
824,97242,114384
825,97243,114385
826,97244,114386
827,97245,114387
828,97246,114388
829,97247,114389
830,97248,114390
831,97249,114391
832,97250,114392
833,97251,114393
834,97252,114394
835,97253,114395
836,97254,114396
837,97255,114397
838,97256,114398
839,97257,114399
840,97258,114400
841,97259,114401
842,97260,114402
843,97261,114403
844,97262,114404
845,97263,114405
846,97264,114406
847,97265,114407
848,97266,114408
849,97267,114409
850,97268,114410
851,97269,114411
852,97270,114412
853,97271,114413
854,97272,114414
855,97273,114415
856,97274,114416
857,97275,114417
858,97277,114418
859,97278,114419
860,97279,114420
861,97281,114421
862,97283,114422
863,97284,114423
864,97285,114424
865,97286,114425
866,97287,114426
867,97288,114427
868,97289,114428
869,97290,114429
870,97291,114430
871,97292,114431
872,97293,114432
873,97294,114433
874,97295,114434
875,97296,114435
876,97297,114436
877,97298,114437
878,97300,114438
879,97303,114439
880,97304,114440
881,97305,114441
882,97306,114442
883,97307,114443
884,97309,114444
885,97313,114445
886,97314,114446
887,97339,114447
888,97340,114448
889,97341,114449
890,97342,114450
891,97343,114451
892,97344,114452
893,97345,114453
894,97346,114454
895,97347,114455
896,97348,114456
897,97349,114457
898,97350,114458
899,97351,114459
900,97352,114460
901,97353,114461
902,96100,113533
903,96102,113534
904,96139,113550
905,96959,114101
906,96978,114120
907,97007,114149
908,97013,114155
