hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
114036,10,17,0,0,0,0.0864671915769577,0.792459547519684,0,0,0.0152117498219013,0.0601101964712143,0.00746478512883186,0.003625453915447,0.0346611328423023,0
114040,10,1,9.76297669694759e-05,0,0,0.0599430277943611,0.746054291725159,0,0,0.005664745811373,0.0098701911047101,0.160636320710182,0.00284535740502179,0.0148884849622846,0
113988,10,1,0.000351489608874545,0,0,0.284771889448166,0.601784348487854,0,0,0.0219897590577602,0.0880202129483223,0,0,0.00308229355141521,0
114076,10,5,0.00544391060248017,5.68071191082709e-05,0,0.045811865478754,0.61973363161087,0,0,0.000323363579809666,0.0372413285076618,0.256532818078995,0.00249423808418214,0.0323620028793812,0
114307,10,1,0.000119367636216339,0.000861152249854058,0,0.0282739605754614,0.718468308448792,0,0,0.000460418028524145,0.198521703481674,0.0181524083018303,0.0107490140944719,0.0243937093764544,0
113995,10,16,0,0,0,0.2414420992136,0.6214479804039,0,0,0.0111937578767538,0.119858011603355,0.000150365303852595,0.00431794160977006,0.00158993131481111,0
114196,10,17,0,0,0,0.171695932745934,0.758573889732361,0,0,0.0326085239648819,0.0315109305083752,0.0010742925805971,0.000878966646268964,0.00365741946734488,0
114415,10,16,9.68501481111161e-05,0,0,0.176623895764351,0.496388554573059,0,0,0.0193084888160229,0.296320885419846,3.02656717394711e-05,0.00833463110029697,0.00289642461575568,0
113848,10,6,0.000113107271317858,2.18198365473654e-05,1.1901728612429e-05,0.106149584054947,0.784126937389374,0,0,0.0125297727063298,0.089400477707386,0,0.0058683673851192,0.00177806627471,0
114207,15,1,0.000108850203105249,0,0,0.221163138747215,0.338514983654022,0,0,0.0164425484836102,0.41157266497612,0.000265026581473649,0.00573773309588432,0.00619499618187547,0
113963,10,1,0.00014100172847975,0,0,0.147341266274452,0.77068567276001,0,0,0.00406554993242025,0.0698845386505127,0,0.00508544268086553,0.00279653444886208,0
114107,10,5,0.00370638840831816,1.57368940563174e-05,0,0.0735528171062469,0.751734673976898,0,0,0.00072611786890775,0.0668352544307709,0.0708849430084229,0.00518258707597852,0.027361499145627,0
114314,10,1,6.84843835188076e-05,0.000362564373062924,0,0.0410568974912167,0.832007765769958,0,0,0.00026990904007107,0.0993686690926552,0.00726337311789393,0.0103559466078877,0.00924637820571661,0
114243,10,1,2.50119246629765e-05,0,0,0.111235357820988,0.70320999622345,0,0,0.00432593794539571,0.162804439663887,0.00350507628172636,0.00830887630581856,0.00658534560352564,0
114116,15,14,0,0,0,0.00497869635000825,0.266342014074326,0,0,0.000340525963110849,0.672223269939423,0.00150225812103599,0.0219028256833553,0.0327104143798351,0
114114,10,8,0,0,0,0.00426309742033482,0.750141024589539,0,0,0,0.215962842106819,0.00771704129874706,0.00977348256856203,0.0121425064280629,0
114006,10,16,0,0,0,0.0626958459615707,0.922174870967865,0,0,0.00374243105761707,0.00205876096151769,0.000442839867901057,0.00522382976487279,0.0036613498814404,0
114108,10,5,0.00997080560773611,4.13961606682278e-05,0,0.0630293190479279,0.6044881939888,0,0,0.000121067139843944,0.273603767156601,0.0193921625614166,0.0147999729961157,0.0145532889291644,0
114236,15,1,2.03312556550372e-05,0,0,0.064456894993782,0.397618234157562,0,2.37197982642101e-05,0.00730050588026643,0.503947734832764,0.000538788910489529,0.0145430956035852,0.0115506667643785,0
114312,10,1,1.77950369106838e-05,0.00116839737165719,0,0.0198707319796085,0.508123517036438,0,0,0.000530292105395347,0.423793643712997,0.00486066238954663,0.0163252968341112,0.0253096949309111,0
113827,10,1,0.000389730033930391,0,0,0.154446199536324,0.483974158763885,0,0,0.0587254278361797,0.287241011857986,0,0.0136581948027015,0.00156532309483737,0
113839,15,8,0,0,0,0.00053229636978358,0.2653768658638,0,0,0.00334754353389144,0.680880784988403,0.021830627694726,0.0280318912118673,0,0
114091,10,17,0,0,0,0.129100635647774,0.511624813079834,0,0,0,0,0.22280915081501,0.0378739945590496,0.0985913798213005,0
114117,15,14,0,0.00060777529142797,0,0.0166014693677425,0.345324128866196,0,0,0.000255905382800847,0.581794500350952,0.0210314337164164,0.01794901676476,0.0164357963949442,0
113875,10,1,4.25348516728263e-05,0,0,0.123817808926105,0.469130754470825,0,0,0.0371143333613873,0.331263542175293,0.0080900052562356,0.0277507416903973,0.00279028620570898,0
113893,15,16,0,0,0,0.0262085497379303,0.260404825210571,0,0,0.0365973487496376,0.607863903045654,0.0104458685964346,0.0313122794032097,0.027167210355401,0
114418,10,1,7.59846807341091e-05,0,0,0.150759309530258,0.698302805423737,0,0,0.00923888757824898,0.134941592812538,0.000260880740825087,0.00552575988695025,0.00089479424059391,0
114121,15,5,0,4.45061486971099e-05,0,0.00343955820426345,0.106001764535904,0,0,0.000484004383906722,0.840626001358032,0.00786326359957457,0.0263311415910721,0.0152098136022687,0
113846,8,14,0,0,0,0.574149370193481,0.398054212331772,0,0,0.0043221041560173,0.0234743133187294,0,0,0,0
114311,15,1,0.000297467893688008,0.000872572476509959,0,0.00853732880204916,0.177756085991859,0,0,0.00138322566635907,0.747956275939941,0.0188948102295399,0.0271605383604765,0.0171417277306318,0
113841,10,1,3.38844511134084e-05,0,0,0.411753356456757,0.485975593328476,0,0,0.0282382033765316,0.0707644373178482,0.00031948194373399,0.000310791801894084,0.00260426197201014,0
113857,10,6,0.000536145176738501,0,0.000134802219690755,0.105163730680943,0.649079382419586,0,0,0.00821670889854431,0.231769219040871,0,0.00418701535090804,0.000912978663109243,0
113978,10,18,0,0,0,0.158316642045975,0.535840272903442,0,0,0.001468391623348,0.28685650229454,0,0.016757695004344,0.000760487804654986,0
114254,10,1,0.000135827925987542,0,0,0.0463306345045567,0.548777401447296,0,0,0.00710351020097733,0.377517998218536,0.000545542337931693,0.0173816196620464,0.00220744451507926,0
114437,10,18,0,0,0,0.0433754436671734,0.897218823432922,0,0,0.00237268605269492,0.0427868589758873,0,0.0126667488366365,0.00157949852291495,0
114130,15,1,5.08613084093668e-05,0.000132239409140311,0,0.00807122606784105,0.294180661439896,0,0,0.00152877485379577,0.630705535411835,0.00223380862735212,0.0370547994971275,0.0260421000421047,0
113898,10,15,0.000726949656382203,0,0,0.261056631803513,0.688131034374237,0,0,0.0286502428352833,8.11484351288527e-05,0,0.0213540270924568,0,0
114217,15,1,1.86482466233429e-05,0,0,0.127887398004532,0.301441937685013,0,0,0.0377853699028492,0.517854809761047,5.74987607251387e-05,0.0141493044793606,0.000804982671979815,0
113637,15,16,4.12544395658188e-05,0,0,0.0658517777919769,0.294301301240921,0,0,0.00276349508203566,0.618310511112213,2.40650897467276e-05,0.0180667079985142,0.00064090098021552,0
114210,8,1,2.635794771777e-05,0,0,0.465670108795166,0.448228091001511,0,0,0.00176866387482733,0.07877366989851,0.00029187454492785,0.00267574936151505,0.00256550684571266,0
113778,10,14,0,0,0,0.0803750306367874,0.676575481891632,0,0,0.00804030895233154,0.235009148716927,0,0,0,0
114333,15,14,0.00010466254025232,0.00129620532970876,0,0.0048305788077414,0.150532856583595,0,0,4.02548248530366e-05,0.790784299373627,0.00374150369316339,0.0348412618041039,0.0138284061104059,0
113776,8,1,7.02744000591338e-05,0,0,0.557077348232269,0.428628921508789,0,0,0.000646524480544031,0.013140307739377,0,0,0.000436654489021748,0
113633,15,18,0.00226204190403223,0,0,0.117047905921936,0.315236300230026,0,0,0.00272542983293533,0.545475900173187,0,0.0154177099466324,0.00183468905743212,0
113955,15,6,1.60731524374569e-05,0.000140949181513861,6.18198191659758e-06,0.0324294716119766,0.225108176469803,0,0,0.0296362563967705,0.697677075862885,1.73095486388775e-05,0.0138693302869797,0.00109915633220226,0
113922,10,1,0.000202456882107072,0,0,0.121002689003944,0.853415310382843,0,0,0.00204508099704981,0,0,0.019450968131423,0.00388349127024412,0
114159,10,1,3.35108161380049e-05,0.000912238901946694,0,0.155409067869186,0.667259037494659,0,0,0.000567928189411759,0.137311041355133,0.00268457992933691,0.0200845841318369,0.0157380122691393,0
114338,15,6,0.000329918722854927,0.00129369786009192,7.10594176780432e-05,0.0103128552436829,0.154455572366714,0,0,0.000550710479728878,0.777659296989441,0.00474126962944865,0.0353414118289948,0.0152442427352071,0
114261,10,1,4.29602732765488e-05,0,0,0.0288762543350458,0.771759688854218,0,0,0.00015245532267727,0.159731402993202,0.0154735138639808,0.014045006595552,0.00991861801594496,0
113747,10,1,0.000429717329097912,0,0,0.433297365903854,0.563528537750244,0,0,0.00103132158983499,0,0,0,0.00171304075047374,0
113733,10,1,0.000824229791760445,0,0,0.484421610832214,0.49046927690506,0,0,0,0.0242849159985781,0,0,0,0
114339,10,1,0.000445041427155957,0.00137145421467721,0,0.0284619722515345,0.451740264892578,0,0,0.000853752950206399,0.41068971157074,0.0628175958991051,0.0220816731452942,0.0215385518968105,0
113636,15,1,1.29347145048087e-05,0,0,0.0171873029321432,0.155371889472008,0,0,0.00207646703347564,0.800335288047791,5.38946442247834e-05,0.0229082349687815,0.00205396628007293,0
114179,10,16,0,0,0,0.0592037104070187,0.931400775909424,0,0,0.00260693812742829,0,0.00100033672060817,0.00345405447296798,0.00233411905355752,0
