hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
114131,10,5,0.000740111223421991,4.22862212872133e-05,0,0.0500681512057781,0.880579352378845,0.00285129947587848,0.0529954992234707,0.000453032203949988,0.00708108628168702,0.00518912309780717,0
113797,15,8,0,0,0,0.0210084803402424,0.458652317523956,0,0.520339250564575,0,0,0,0
113628,10,18,0,0,0,0.0795438438653946,0.473556131124496,0.0158722158521414,0.397778153419495,0.000523678259924054,0.0324859172105789,0.000240019187913276,0
113793,10,18,0,0,0,0.27041232585907,0.622862458229065,0.00246197497472167,0.10290701687336,0,0,0.00135617272462696,0
114450,10,16,0,0,0,0.00475398357957602,0.958736538887024,0.004042096901685,0.00668100314214826,0.00328090251423419,0.0132559770718217,0.00924944691359997,0
113981,10,16,0.0110520264133811,0.00317071261815727,0.000269329233560711,0.263917505741119,0.521051049232483,0.0594019144773483,0.136395707726479,0.00024124413903337,0.00380656588822603,0.000693911337293684,0
113957,10,14,0,0,0,0.1274304240942,0.854151010513306,0.000475559412734583,0.00540235498920083,0,0.0110379057005048,0.00150276767089963,0
113648,8,16,0.0015285771805793,0,0,0.730270624160767,0.260744839906693,0.0068861972540617,0,3.92935653508175e-05,0,0.000530463119503111,0
114310,15,18,0,0,0,0.00739381229504943,0.378351211547852,0,0.536617279052734,0,0.07625512778759,0.00138257537037134,0
114348,10,1,0.000147466213093139,0.00149075849913061,0,0.00999347399920225,0.747396469116211,0.00320493220351636,0.215236932039261,0.000481722934637219,0.0154811078682542,0.00656717550009489,0
114215,15,5,0,7.78265384724364e-05,0,0.0196410045027733,0.298534423112869,0.00703060813248158,0.63474178314209,0.000260455883108079,0.0241854079067707,0.0155284721404314,0
114344,15,16,0,5.39462816959713e-05,0,0.00231806747615337,0.349929213523865,0.000577674771193415,0.604740142822266,5.32712838321459e-05,0.0296995993703604,0.0126280905678868,0
114043,15,16,0,0,0,0.0300325434654951,0.11701450496912,0.00602390663698316,0.81610244512558,0.000283163390122354,0.0299648158252239,0.000578586594201624,0
114184,10,6,0,0.00227397587150335,4.14418827858754e-05,0.0340699106454849,0.947849094867706,0.000223786162678152,0.0121760135516524,0.000605051463935524,0.00210492662154138,0.000655825017020106,0
114256,10,16,0,0,0,0.195135161280632,0.781008243560791,0.000193914034753107,0.0128976972773671,0.000153321539983153,0.00891927443444729,0.00169234059285372,0
114208,15,5,0,1.0099714017997e-05,0,0.10873394459486,0.403230011463165,0.0304263699799776,0.445115357637405,0.000232293416047469,0.00888694543391466,0.00336488801985979,0
113760,10,14,0,0,0,0.210303798317909,0.768142282962799,0.00300751882605255,0.0185463652014732,0,0,0,0
113691,10,16,0,0,0,0.134414121508598,0.773566663265228,0.018073670566082,0.0661943778395653,0.000244790251599625,0.00117172976024449,0.0063346941024065,0
113759,10,18,0,0,0,0.354985594749451,0.590314090251923,0.000792940380051732,0.0533641278743744,0,0,0.000543292087968439,0
